"""The Angel and the Gambler""";Steve Harris;Virtual XI;1998
"""The Apparition""";Steve Harris;Fear of the Dark;1992
;Janick Gers;;
"""The Assassin""";Steve Harris;No Prayer for the Dying;1990
"""The Book of Souls""";Janick Gers;The Book of Souls;2015
;Steve Harris;;
"""The Clairvoyant""";Steve Harris;Seventh Son of a Seventh Son;1988
"""The Clansman""";Steve Harris;Virtual XI;1998
"""The Duellists""";Steve Harris;Powerslave;1984
"""The Edge of Darkness""";Steve Harris;The X Factor;1995
;Blaze Bayley;;
;Janick Gers;;
"""The Educated Fool""";Steve Harris;Virtual XI;1998
"""The Evil That Men Do""";Steve Harris;Seventh Son of a Seventh Son;1988
;Bruce Dickinson;;
;Adrian Smith;;
"""The Fallen Angel""";Steve Harris;Brave New World;2000
;Adrian Smith;;
"""The Fugitive""";Steve Harris;Fear of the Dark;1992
"""The Great Unknown""";Adrian Smith;The Book of Souls;2015
;Steve Harris;;
"""The Ides of March""";Steve Harris;Killers;1981
"""The Legacy""";Steve Harris;A Matter of Life and Death;2006
;Janick Gers;;
"""The Loneliness of the Long Distance Runner""";Steve Harris;Somewhere in Time;1986
"""The Longest Day""";Steve Harris;A Matter of Life and Death;2006
;Bruce Dickinson;;
;Adrian Smith;;
"""The Man of Sorrows""";Dave Murray;The Book of Souls;2015
;Steve Harris;;
"""The Man Who Would Be King""";Steve Harris;The Final Frontier;2010
;Dave Murray;;
"""The Mercenary""";Steve Harris;Brave New World;2000
;Janick Gers;;
"""The Nomad""";Steve Harris;Brave New World;2000
;Dave Murray;;
"""The Number of the Beast""";Steve Harris;The Number of the Beast;1982
"""The Pilgrim""";Steve Harris;A Matter of Life and Death;2006
;Janick Gers;;
"""The Prisoner""";Steve Harris;The Number of the Beast;1982
;Adrian Smith;;
"""The Prophecy""";Steve Harris;Seventh Son of a Seventh Son;1988
;Dave Murray;;
"""The Red and the Black""";Steve Harris;The Book of Souls;2015
"""The Reincarnation of Benjamin Breeg""";Steve Harris;A Matter of Life and Death;2006
;Dave Murray;;
"""The Talisman""";Steve Harris;The Final Frontier;2010
;Janick Gers;;
"""The Thin Line Between Love and Hate""";Steve Harris;Brave New World;2000
;Dave Murray;;
"""The Trooper""";Steve Harris;Piece of Mind;1983
"""The Unbeliever""";Steve Harris;The X Factor;1995
;Janick Gers;;
"""The Wicker Man""";Steve Harris;Brave New World;2000
;Bruce Dickinson;;
;Adrian Smith;;
"""These Colours Don't Run""";Steve Harris;A Matter of Life and Death;2006
;Bruce Dickinson;;
;Adrian Smith;;
"""To Tame a Land""";Steve Harris;Piece of Mind;1983
"""Total Eclipse""";Steve Harris;"""Run to the Hills""";1982
;Dave Murray;;
;Clive Burr;;
"""Transylvania""";Steve Harris;Iron Maiden;1980
"""Twilight Zone""";Steve Harris;Killers;1981
;Dave Murray;;
"""Virus""";Steve Harris;Best of the Beast;1996
;Blaze Bayley;;
;Dave Murray;;
;Janick Gers;;
"""Wasted Years""";Adrian Smith;Somewhere in Time;1986
"""Wasting Love""";Bruce Dickinson;Fear of the Dark;1992
;Janick Gers;;
"""Weekend Warrior""";Steve Harris;Fear of the Dark;1992
;Janick Gers;;
"""When the River Runs Deep""";Adrian Smith;The Book of Souls;2015
;Steve Harris;;
"""When the Wild Wind Blows""";Steve Harris;The Final Frontier;2010
"""When Two Worlds Collide""";Steve Harris;Virtual XI;1998
;Blaze Bayley;;
;Dave Murray;;
"""Where Eagles Dare""";Steve Harris;Piece of Mind;1983
"""Wildest Dreams""";Steve Harris;Dance of Death;2003
;Adrian Smith;;
"""Women in Uniform"" [nb 21]";Greg Macainsh;"""Women in Uniform""";1980
"""Wrathchild""";Steve Harris;Killers;1981
