"song","album","year","composer1","composer2","composer3","composer4"
"The Educated Fool","Virtual XI",1998,"Steve Harris","NA","NA","NA"
"The Evil That Men Do","Seventh Son of a Seventh Son",1988,"Steve Harris","Bruce Dickinson","Adrian Smith","NA"
"The Fallen Angel","Brave New World",2000,"Steve Harris","Adrian Smith","NA","NA"
"The Fugitive","Fear of the Dark",1992,"Steve Harris","NA","NA","NA"
"The Great Unknown","The Book of Souls",2015,"Adrian Smith","Steve Harris","NA","NA"
"The Ides of March","Killers",1981,"Steve Harris","NA","NA","NA"
"The Legacy","A Matter of Life and Death",2006,"Steve Harris","Janick Gers","NA","NA"
"The Loneliness of the Long Distance Runner","Somewhere in Time",1986,"Steve Harris","NA","NA","NA"
"The Longest Day","A Matter of Life and Death",2006,"Steve Harris","Bruce Dickinson","Adrian Smith","NA"
"The Man of Sorrows","The Book of Souls",2015,"Dave Murray","Steve Harris","NA","NA"
"The Man Who Would Be King","The Final Frontier",2010,"Steve Harris","Dave Murray","NA","NA"
"The Mercenary","Brave New World",2000,"Steve Harris","Janick Gers","NA","NA"
"The Nomad","Brave New World",2000,"Steve Harris","Dave Murray","NA","NA"
"The Number of the Beast","The Number of the Beast",1982,"Steve Harris","NA","NA","NA"
"The Pilgrim","A Matter of Life and Death",2006,"Steve Harris","Janick Gers","NA","NA"
"The Prisoner","The Number of the Beast",1982,"Steve Harris","Adrian Smith","NA","NA"
"The Prophecy","Seventh Son of a Seventh Son",1988,"Steve Harris","Dave Murray","NA","NA"
"The Red and the Black","The Book of Souls",2015,"Steve Harris","NA","NA","NA"
"The Reincarnation of Benjamin Breeg","A Matter of Life and Death",2006,"Steve Harris","Dave Murray","NA","NA"
"The Talisman","The Final Frontier",2010,"Steve Harris","Janick Gers","NA","NA"
"The Thin Line Between Love and Hate","Brave New World",2000,"Steve Harris","Dave Murray","NA","NA"
"The Trooper","Piece of Mind",1983,"Steve Harris","NA","NA","NA"
"The Unbeliever","The X Factor",1995,"Steve Harris","Janick Gers","NA","NA"
"The Wicker Man","Brave New World",2000,"Steve Harris","Bruce Dickinson","Adrian Smith","NA"
"These Colours Don't Run","A Matter of Life and Death",2006,"Steve Harris","Bruce Dickinson","Adrian Smith","NA"
"To Tame a Land","Piece of Mind",1983,"Steve Harris","NA","NA","NA"
"Total Eclipse","""Run to the Hills""",1982,"Steve Harris","Dave Murray","Clive Burr","NA"
"Transylvania","Iron Maiden",1980,"Steve Harris","NA","NA","NA"
"Twilight Zone","Killers",1981,"Steve Harris","Dave Murray","NA","NA"
"Virus","Best of the Beast",1996,"Steve Harris","Blaze Bayley","Dave Murray","Janick Gers"
